filename,Max_Metal_Charge
DB6-cuf_3425_repeat,0.667491
DB0-m3_o4_o28_f0_pcu,1.066612
DB1-Cu2O8N2-irmof14_A-irmof6_A_No336_repeat,1.19266
DB0-m3_o146_o20_f0_fsc,1.02521
DB5-hypotheticalMOF_26274_0_0_1_16_11_1_repeat,0.961855
DB5-hypotheticalMOF_23398_1_1_1_13_24_6_repeat,0.96655
DB0-m2_o3_o24_f0_nbo,0.999675
DB0-m2_o2_o15_f0_nbo,0.937811
DB0-m2_o31_o8_tfc_repeat,1.012008
DB0-m29_o91_o1470_f0_pts,1.44996
DB0-m2_o15_o27_f0_nbo,1.035008
DB0-m2_o6_o23_f0_nbo,1.019742
DB12-GIRYUD_freeONLY_repeat,1.273955
DB0-m29_o90_o100_f0_pts,1.453828
DB0-m3_o150_o6_f0_fsc,1.096434
DB0-m2_o5_o24_f0_nbo,1.006962
DB0-m3_o16_o25_f0_pcu,1.050972
DB5-hypotheticalMOF_5072919_0_0_2_19_12_11_repeat,0.908807
DB0-m3_o1_o25_f0_nbo,1.339743
DB0-m29_o96_o102_f0_pts,1.506483
DB0-m2_o15_o29_f0_nbo,0.950983
DB0-m3_o2_o22_f0_nbo,1.337896
DB6-cuf_8296_repeat,0.621618
DB0-m2_o14_o23_f0_pcu,0.869691
DB5-hypotheticalMOF_5007392_3_0_0_15_10_7_repeat,1.298162
DB1-Zn2O8N2-irmof10_A-irmof14_A_No472_repeat,1.058023
DB7-ddmof_16078_repeat,1.476856
DB0-m29_o89_o150_f0_pts,1.440989
DB0-m29_o82_o1470_f0_pts,1.433062
DB0-m3_o39_o41_f0_fof,1.268582
DB0-m3_o45_o158_f0_fsc,1.093616
DB0-m3_o6_o8_f0_pcu,1.071995
DB0-m2_o8_o17_f0_pcu,0.891424
DB0-m3_o24_o470_f0_fsc,0.989514
DB5-hypotheticalMOF_4674_0_0_0_1_9_4_repeat,1.314273
DB0-m3_o7_o22_f0_nbo,1.361385
DB0-m3_o49_o23_f0_fsc,1.039129
DB0-m3_o7_o9_f0_pcu,1.013108
DB12-BEPREV02_freeONLY_repeat,1.099789
DB0-m3_o155_o510_f0_fsc,1.010679
DB5-hypotheticalMOF_5037598_3_0_1_18_13_0_repeat,0.997116
DB5-hypotheticalMOF_22230_1_1_1_11_11_6_repeat,1.008094
DB0-m29_o90_o92_f0_pts,1.488296
DB0-m2_o6_o27_f0_pcu,1.125238
DB0-m2_o4_o4_f0_nbo,0.998405
DB0-m3_o19_o25_f0_nbo,1.325162
DB0-m3_o7_o7_f0_pcu,1.023394
DB0-m3_o9_o11_f0_pcu,1.281394
DB0-m9_o13_o21_f0_sra,1.220713
DB1-Uio66Zr-irmof10_A_No16_repeat,2.507881
DB6-cuf_4073_repeat,0.837276
DB0-m29_o90_o148_f0_pts,1.477798
DB0-m2_o8_o19_f0_pcu,1.018083
DB0-m3_o6_o6_f0_pcu,1.051852
DB0-m3_o43_o23_f0_fsc,1.103108
DB0-m3_o160_o83_f0_fsc,1.033688
DB0-m9_o12_o18_f0_sra,1.468244
DB0-m3_o8_o28_f0_pcu,1.083091
DB1-Cu2O8N2-SiF6-AZO_No22_repeat,1.063045
DB0-m2_o1_o10_f0_pcu,0.930463
